gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
web service,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5242; levenshtein=0.1818; semantic=0.4904; sequence_match=0.2857,False,0.4334,False,top-3 avg score 0.4334 < final_threshold 0.6
application programming interface,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5306; levenshtein=0.2258; semantic=0.4963; sequence_match=0.2727,False,0.4332,False,top-3 avg score 0.4332 < final_threshold 0.6
CEL ASCII format,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2083; semantic=0.3695; sequence_match=0.3684,False,0.4331,False,top-3 avg score 0.4331 < final_threshold 0.6
software,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.6050; sequence_match=0.2353,False,0.4329,False,top-3 avg score 0.4329 < final_threshold 0.6
Free,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.4695; sequence_match=0.2667,False,0.4323,False,top-3 avg score 0.4323 < final_threshold 0.6
PROcess,Tool Version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.4569; sequence_match=0.2222,False,0.4323,False,top-3 avg score 0.4323 < final_threshold 0.6
file rendering,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5011; levenshtein=0.1875; semantic=0.4496; sequence_match=0.3448,False,0.4318,False,top-3 avg score 0.4318 < final_threshold 0.6
data format specification,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5243; levenshtein=0.1739; semantic=0.5205; sequence_match=0.2500,False,0.4316,False,top-3 avg score 0.4316 < final_threshold 0.6
plain text file format,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5942; levenshtein=0.1579; semantic=0.4238; sequence_match=0.2759,False,0.4313,False,top-3 avg score 0.4313 < final_threshold 0.6
data format specification,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5656; levenshtein=0.1739; semantic=0.4995; sequence_match=0.2286,False,0.4312,False,top-3 avg score 0.4312 < final_threshold 0.6
function,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5434; sequence_match=0.2500,False,0.4311,False,top-3 avg score 0.4311 < final_threshold 0.6
licence,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4892; levenshtein=0.0909; semantic=0.4707; sequence_match=0.3333,False,0.4311,False,top-3 avg score 0.4311 < final_threshold 0.6
software developer role,Collaborator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5575; levenshtein=0.1905; semantic=0.5451; sequence_match=0.1212,False,0.431,False,top-3 avg score 0.4310 < final_threshold 0.6
CEL ASCII format,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5469; levenshtein=0.1429; semantic=0.4261; sequence_match=0.3200,False,0.431,False,top-3 avg score 0.4310 < final_threshold 0.6
file rendering,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.4497; sequence_match=0.3478,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
software,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3241; levenshtein=0.1111; semantic=0.7330; sequence_match=0.2353,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
Purchase cost,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4823; levenshtein=0.2500; semantic=0.4622; sequence_match=0.3478,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
file rendering,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5072; levenshtein=0.2353; semantic=0.4507; sequence_match=0.3333,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.6
text editing,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5242; levenshtein=0.2727; semantic=0.4813; sequence_match=0.2857,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.6
Source code available,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4971; levenshtein=0.1053; semantic=0.5797; sequence_match=0.2143,False,0.4303,False,top-3 avg score 0.4303 < final_threshold 0.6
text editing,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5330; levenshtein=0.2353; semantic=0.4713; sequence_match=0.2857,False,0.43,False,top-3 avg score 0.4300 < final_threshold 0.6
web service,Collaboration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5103; levenshtein=0.1538; semantic=0.5177; sequence_match=0.2609,False,0.4296,False,top-3 avg score 0.4296 < final_threshold 0.6
Purchase cost,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.2500; semantic=0.4543; sequence_match=0.3333,False,0.4292,False,top-3 avg score 0.4292 < final_threshold 0.6
web service,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5089; sequence_match=0.2727,False,0.4291,False,top-3 avg score 0.4291 < final_threshold 0.6
algorithm,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.0000; semantic=0.5601; sequence_match=0.2500,False,0.4288,False,top-3 avg score 0.4288 < final_threshold 0.6
web service,Feature,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4651; levenshtein=0.3000; semantic=0.5209; sequence_match=0.2353,False,0.4287,False,top-3 avg score 0.4287 < final_threshold 0.6
Development status,Tool Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4661; levenshtein=0.1765; semantic=0.5339; sequence_match=0.2857,False,0.4286,False,top-3 avg score 0.4286 < final_threshold 0.6
data format specification,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.2174; semantic=0.5039; sequence_match=0.2500,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
plain text file format,Dataset,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5940; levenshtein=0.2105; semantic=0.4807; sequence_match=0.1538,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
licence,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.1765; semantic=0.4317; sequence_match=0.2500,False,0.4282,False,top-3 avg score 0.4282 < final_threshold 0.6
software developer role,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6194; levenshtein=0.1905; semantic=0.4147; sequence_match=0.2500,False,0.428,False,top-3 avg score 0.4280 < final_threshold 0.6
CEL ASCII format,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4913; levenshtein=0.1429; semantic=0.4716; sequence_match=0.3200,False,0.4277,False,top-3 avg score 0.4277 < final_threshold 0.6
XML,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6345; sequence_match=0.1667,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.6
text editing,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6199; levenshtein=0.1667; semantic=0.4332; sequence_match=0.2286,False,0.4273,False,top-3 avg score 0.4273 < final_threshold 0.6
Development status,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5381; levenshtein=0.0588; semantic=0.4492; sequence_match=0.2941,False,0.4271,False,top-3 avg score 0.4271 < final_threshold 0.6
desktop graphical user interface,Software Type,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5225; levenshtein=0.2069; semantic=0.5516; sequence_match=0.1951,False,0.427,False,top-3 avg score 0.4270 < final_threshold 0.6
programming language,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1053; semantic=0.5716; sequence_match=0.1739,False,0.4269,False,top-3 avg score 0.4269 < final_threshold 0.6
web service,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5466; levenshtein=0.2632; semantic=0.4571; sequence_match=0.2759,False,0.4265,False,top-3 avg score 0.4265 < final_threshold 0.6
Not Free,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.2143; semantic=0.4367; sequence_match=0.2857,False,0.4265,False,top-3 avg score 0.4265 < final_threshold 0.6
Open source software license,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5789; levenshtein=0.1600; semantic=0.4301; sequence_match=0.2703,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
CEL binary format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4963; levenshtein=0.2000; semantic=0.4492; sequence_match=0.3333,False,0.4263,False,top-3 avg score 0.4263 < final_threshold 0.6
data item,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5353; levenshtein=0.1538; semantic=0.4573; sequence_match=0.2857,False,0.4261,False,top-3 avg score 0.4261 < final_threshold 0.6
software developer organization,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.1724; semantic=0.5202; sequence_match=0.2051,False,0.4257,False,top-3 avg score 0.4257 < final_threshold 0.6
application programming interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4412; levenshtein=0.1290; semantic=0.6849; sequence_match=0.1500,False,0.4254,False,top-3 avg score 0.4254 < final_threshold 0.6
software interface,Algorithm Usage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4944; levenshtein=0.2353; semantic=0.5459; sequence_match=0.1935,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
Source code available,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5258; levenshtein=0.1579; semantic=0.5190; sequence_match=0.2308,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
algorithm,Publication,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0909; semantic=0.5387; sequence_match=0.2000,False,0.4247,False,top-3 avg score 0.4247 < final_threshold 0.6
programming language,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.1429,False,0.4247,False,top-3 avg score 0.4247 < final_threshold 0.6
algorithm,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.1000; semantic=0.5885; sequence_match=0.2105,False,0.4244,False,top-3 avg score 0.4244 < final_threshold 0.6
web service,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.1000; semantic=0.5885; sequence_match=0.2105,False,0.4244,False,top-3 avg score 0.4244 < final_threshold 0.6
programming language,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5544; levenshtein=0.1053; semantic=0.5472; sequence_match=0.1714,False,0.4243,False,top-3 avg score 0.4243 < final_threshold 0.6
Development status,Valid Input,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5611; levenshtein=0.2353; semantic=0.4764; sequence_match=0.2222,False,0.4243,False,top-3 avg score 0.4243 < final_threshold 0.6
Maintained,Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5278; sequence_match=0.1053,False,0.4241,False,top-3 avg score 0.4241 < final_threshold 0.6
software interface,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5072; levenshtein=0.1765; semantic=0.4983; sequence_match=0.2667,False,0.4241,False,top-3 avg score 0.4241 < final_threshold 0.6
Source code available,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4982; levenshtein=0.2632; semantic=0.4406; sequence_match=0.3333,False,0.424,False,top-3 avg score 0.4240 < final_threshold 0.6
data item,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.5456; sequence_match=0.2353,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.6
Not Free,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.6253; sequence_match=0.1818,False,0.4238,False,top-3 avg score 0.4238 < final_threshold 0.6
algorithm,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4832; levenshtein=0.1765; semantic=0.4803; sequence_match=0.3077,False,0.4237,False,top-3 avg score 0.4237 < final_threshold 0.6
CEL binary format,Help Resource,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5833; levenshtein=0.2667; semantic=0.4200; sequence_match=0.1481,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
.csv,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6219; sequence_match=0.1667,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
programming language,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3850; levenshtein=0.0526; semantic=0.7421; sequence_match=0.1429,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
file rendering,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.2308; semantic=0.5139; sequence_match=0.2609,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.6
PROcess,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.4906; sequence_match=0.2667,False,0.423,False,top-3 avg score 0.4230 < final_threshold 0.6
CEL binary format,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5265; levenshtein=0.1053; semantic=0.5062; sequence_match=0.2353,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
programming language,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4928; levenshtein=0.1579; semantic=0.4621; sequence_match=0.3125,False,0.4225,False,top-3 avg score 0.4225 < final_threshold 0.6
algorithm,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5042; levenshtein=0.0714; semantic=0.4150; sequence_match=0.3478,False,0.4224,False,top-3 avg score 0.4224 < final_threshold 0.6
plain text file format,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5313; levenshtein=0.1053; semantic=0.4718; sequence_match=0.2632,False,0.4221,False,top-3 avg score 0.4221 < final_threshold 0.6
software interface,Collaborator,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5065; levenshtein=0.2353; semantic=0.5239; sequence_match=0.2069,False,0.4219,False,top-3 avg score 0.4219 < final_threshold 0.6
plain text file format,Collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5538; levenshtein=0.1579; semantic=0.3360; sequence_match=0.3750,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.6
plain text file format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5396; levenshtein=0.1579; semantic=0.4395; sequence_match=0.2857,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.6
software developer organization,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.1034; semantic=0.3929; sequence_match=0.2500,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
software,Collaboration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5353; levenshtein=0.1538; semantic=0.5376; sequence_match=0.1905,False,0.4211,False,top-3 avg score 0.4211 < final_threshold 0.6
web service,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.2083; semantic=0.4622; sequence_match=0.2941,False,0.4206,False,top-3 avg score 0.4206 < final_threshold 0.6
data format specification,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5906; levenshtein=0.2083; semantic=0.4153; sequence_match=0.2553,False,0.4204,False,top-3 avg score 0.4204 < final_threshold 0.6
software developer organization,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5530; levenshtein=0.1724; semantic=0.4290; sequence_match=0.2791,False,0.4204,False,top-3 avg score 0.4204 < final_threshold 0.6
software developer organization,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2069; semantic=0.4122; sequence_match=0.3043,False,0.4203,False,top-3 avg score 0.4203 < final_threshold 0.6
algorithm,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.0000; semantic=0.6528; sequence_match=0.1538,False,0.4201,False,top-3 avg score 0.4201 < final_threshold 0.6
software developer role,Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5198; levenshtein=0.1905; semantic=0.4996; sequence_match=0.2400,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.6
data item,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.2500; semantic=0.5094; sequence_match=0.3333,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.6
Source code available,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4890; levenshtein=0.1579; semantic=0.4543; sequence_match=0.3158,False,0.4197,False,top-3 avg score 0.4197 < final_threshold 0.6
software interface,Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5758; levenshtein=0.1765; semantic=0.5060; sequence_match=0.1739,False,0.4194,False,top-3 avg score 0.4194 < final_threshold 0.6
function,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0833; semantic=0.5267; sequence_match=0.3000,False,0.4191,False,top-3 avg score 0.4191 < final_threshold 0.6
web service,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4843; levenshtein=0.2353; semantic=0.4762; sequence_match=0.2963,False,0.4189,False,top-3 avg score 0.4189 < final_threshold 0.6
Source code available,Tool Version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5730; levenshtein=0.1579; semantic=0.5258; sequence_match=0.1333,False,0.4189,False,top-3 avg score 0.4189 < final_threshold 0.6
licence,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.2143; semantic=0.4930; sequence_match=0.2857,False,0.4183,False,top-3 avg score 0.4183 < final_threshold 0.6
programming language,Development Activity Level,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5015; levenshtein=0.1250; semantic=0.5208; sequence_match=0.2326,False,0.4183,False,top-3 avg score 0.4183 < final_threshold 0.6
software,Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4167; levenshtein=0.2500; semantic=0.5878; sequence_match=0.1667,False,0.4182,False,top-3 avg score 0.4182 < final_threshold 0.6
data item,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5064; levenshtein=0.1765; semantic=0.4274; sequence_match=0.3200,False,0.4179,False,top-3 avg score 0.4179 < final_threshold 0.6
version number,License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.0769; semantic=0.5240; sequence_match=0.2500,False,0.4179,False,top-3 avg score 0.4179 < final_threshold 0.6
Maintained,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.1538; semantic=0.4312; sequence_match=0.2609,False,0.4179,False,top-3 avg score 0.4179 < final_threshold 0.6
XML,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4620; levenshtein=0.1053; semantic=0.6088; sequence_match=0.1818,False,0.4175,False,top-3 avg score 0.4175 < final_threshold 0.6
Open source software license,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.2000; semantic=0.3691; sequence_match=0.3415,False,0.4174,False,top-3 avg score 0.4174 < final_threshold 0.6
XML,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4861; levenshtein=0.0000; semantic=0.5839; sequence_match=0.1818,False,0.4173,False,top-3 avg score 0.4173 < final_threshold 0.6
Maintained,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4000; levenshtein=0.2000; semantic=0.5659; sequence_match=0.2857,False,0.4172,False,top-3 avg score 0.4172 < final_threshold 0.6
PROcess,Publication,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4892; levenshtein=0.1818; semantic=0.5402; sequence_match=0.2222,False,0.4172,False,top-3 avg score 0.4172 < final_threshold 0.6
software interface,Platform,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5064; levenshtein=0.1765; semantic=0.5687; sequence_match=0.1600,False,0.4172,False,top-3 avg score 0.4172 < final_threshold 0.6
Development status,Programming Language,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5458; levenshtein=0.1579; semantic=0.5476; sequence_match=0.0556,False,0.4171,False,top-3 avg score 0.4171 < final_threshold 0.6
text editing,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5162; levenshtein=0.1765; semantic=0.4482; sequence_match=0.2857,False,0.4167,False,top-3 avg score 0.4167 < final_threshold 0.6
software interface,License Type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5399; levenshtein=0.2353; semantic=0.4749; sequence_match=0.2143,False,0.4167,False,top-3 avg score 0.4167 < final_threshold 0.6
CEL binary format,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4984; levenshtein=0.0667; semantic=0.4068; sequence_match=0.3448,False,0.4167,False,top-3 avg score 0.4167 < final_threshold 0.6
application programming interface,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5084; levenshtein=0.1290; semantic=0.5310; sequence_match=0.2105,False,0.4167,False,top-3 avg score 0.4167 < final_threshold 0.6
text editing,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5498; levenshtein=0.0714; semantic=0.4598; sequence_match=0.2400,False,0.4165,False,top-3 avg score 0.4165 < final_threshold 0.6
software developer organization,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5352; levenshtein=0.1724; semantic=0.4282; sequence_match=0.2857,False,0.4164,False,top-3 avg score 0.4164 < final_threshold 0.6
Open source software license,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5745; levenshtein=0.1200; semantic=0.4360; sequence_match=0.2381,False,0.4162,False,top-3 avg score 0.4162 < final_threshold 0.6
software,Tool Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.1818; semantic=0.5831; sequence_match=0.2105,False,0.4161,False,top-3 avg score 0.4161 < final_threshold 0.6
algorithm,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.0833; semantic=0.5456; sequence_match=0.2857,False,0.416,False,top-3 avg score 0.4160 < final_threshold 0.6
Not Free,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.2000; semantic=0.5475; sequence_match=0.2353,False,0.416,False,top-3 avg score 0.4160 < final_threshold 0.6
desktop graphical user interface,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5564; levenshtein=0.1379; semantic=0.4533; sequence_match=0.2381,False,0.4159,False,top-3 avg score 0.4159 < final_threshold 0.6
licence,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.5792; sequence_match=0.2500,False,0.4157,False,top-3 avg score 0.4157 < final_threshold 0.6
application programming interface,Development Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5065; levenshtein=0.1613; semantic=0.5265; sequence_match=0.2128,False,0.4153,False,top-3 avg score 0.4153 < final_threshold 0.6
application programming interface,License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4686; levenshtein=0.1935; semantic=0.4914; sequence_match=0.2857,False,0.4152,False,top-3 avg score 0.4152 < final_threshold 0.6
CEL ASCII format,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5565; levenshtein=0.1250; semantic=0.3556; sequence_match=0.3333,False,0.4152,False,top-3 avg score 0.4152 < final_threshold 0.6
file rendering,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4637; levenshtein=0.0769; semantic=0.4609; sequence_match=0.3200,False,0.4149,False,top-3 avg score 0.4149 < final_threshold 0.6
application programming interface,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5158; levenshtein=0.1935; semantic=0.4371; sequence_match=0.2917,False,0.4149,False,top-3 avg score 0.4149 < final_threshold 0.6
CEL ASCII format,Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.4733; sequence_match=0.2222,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.6
software developer organization,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5386; levenshtein=0.1379; semantic=0.5093; sequence_match=0.1951,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.6
function,Version Feature Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4961; levenshtein=0.1053; semantic=0.5248; sequence_match=0.2222,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.6
GIF,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.0000; semantic=0.5204; sequence_match=0.2222,False,0.4142,False,top-3 avg score 0.4142 < final_threshold 0.6
software interface,Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5310; levenshtein=0.1176; semantic=0.5927; sequence_match=0.0952,False,0.4138,False,top-3 avg score 0.4138 < final_threshold 0.6
CEL ASCII format,Dataset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.2143; semantic=0.5180; sequence_match=0.2857,False,0.4134,False,top-3 avg score 0.4134 < final_threshold 0.6
desktop graphical user interface,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5460; levenshtein=0.1034; semantic=0.5719; sequence_match=0.1212,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.6
programming language,Valid Input,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4544; levenshtein=0.2105; semantic=0.5087; sequence_match=0.2759,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.6
plain text file format,Development Activity Level,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6305; levenshtein=0.1667; semantic=0.2828; sequence_match=0.3256,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.6
Maintained,Tool Compatibility,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4618; levenshtein=0.1765; semantic=0.4799; sequence_match=0.2963,False,0.4126,False,top-3 avg score 0.4126 < final_threshold 0.6
Not Free,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6273; sequence_match=0.1818,False,0.4126,False,top-3 avg score 0.4126 < final_threshold 0.6
PROcess,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.0000; semantic=0.5233; sequence_match=0.2857,False,0.4125,False,top-3 avg score 0.4125 < final_threshold 0.6
data item,Publication,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4381; levenshtein=0.1818; semantic=0.4834; sequence_match=0.3158,False,0.4125,False,top-3 avg score 0.4125 < final_threshold 0.6
GIF,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5906; levenshtein=0.1053; semantic=0.4646; sequence_match=0.1818,False,0.4124,False,top-3 avg score 0.4124 < final_threshold 0.6
algorithm,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.5175; sequence_match=0.2000,False,0.4123,False,top-3 avg score 0.4123 < final_threshold 0.6
