gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Free,Free,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Not Free,Non-Free,semantic+jaro_winkler+levenshtein,jaro_winkler=0.9238; levenshtein=0.8571; semantic=0.9493; sequence_match=0.8571,False,0.9101,True,selected
software interface,Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5310; levenshtein=0.1176; semantic=0.5927; sequence_match=0.0952,False,0.4138,False,top-3 avg score 0.4138 < final_threshold 0.6
data item,TXT Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.4358; sequence_match=0.2353,False,0.4135,False,top-3 avg score 0.4135 < final_threshold 0.6
desktop graphical user interface,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5460; levenshtein=0.1034; semantic=0.5719; sequence_match=0.1212,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.6
function,Open Source License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5899; levenshtein=0.2353; semantic=0.4137; sequence_match=0.1600,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.6
Not Free,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6273; sequence_match=0.1818,False,0.4126,False,top-3 avg score 0.4126 < final_threshold 0.6
PROcess,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.0000; semantic=0.5233; sequence_match=0.2857,False,0.4125,False,top-3 avg score 0.4125 < final_threshold 0.6
software interface,Data Tool Usage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4937; levenshtein=0.2353; semantic=0.5081; sequence_match=0.2000,False,0.4124,False,top-3 avg score 0.4124 < final_threshold 0.6
GIF,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5906; levenshtein=0.1053; semantic=0.4646; sequence_match=0.1818,False,0.4124,False,top-3 avg score 0.4124 < final_threshold 0.6
Not Free,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.2222; semantic=0.5108; sequence_match=0.2500,False,0.4123,False,top-3 avg score 0.4123 < final_threshold 0.6
algorithm,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.5175; sequence_match=0.2000,False,0.4123,False,top-3 avg score 0.4123 < final_threshold 0.6
version number,CEL File Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5299; levenshtein=0.1538; semantic=0.4760; sequence_match=0.2308,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.6
CEL binary format,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.1333; semantic=0.4262; sequence_match=0.2222,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.6
licence,Valid Input Specification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.1739; semantic=0.3922; sequence_match=0.2667,False,0.412,False,top-3 avg score 0.4120 < final_threshold 0.6
plain text file format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.4942; levenshtein=0.1579; semantic=0.3541; sequence_match=0.3871,False,0.4118,False,top-3 avg score 0.4118 < final_threshold 0.6
CEL binary format,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4870; levenshtein=0.1333; semantic=0.4982; sequence_match=0.2500,False,0.4117,False,top-3 avg score 0.4117 < final_threshold 0.6
software interface,Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4832; levenshtein=0.1765; semantic=0.5752; sequence_match=0.1538,False,0.4116,False,top-3 avg score 0.4116 < final_threshold 0.6
software developer organization,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.2069; semantic=0.4264; sequence_match=0.2564,False,0.4116,False,top-3 avg score 0.4116 < final_threshold 0.6
application programming interface,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.0968; semantic=0.5584; sequence_match=0.1714,False,0.4114,False,top-3 avg score 0.4114 < final_threshold 0.6
programming language,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5211; levenshtein=0.1053; semantic=0.5750; sequence_match=0.1379,False,0.4113,False,top-3 avg score 0.4113 < final_threshold 0.6
text editing,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3965; levenshtein=0.1667; semantic=0.4895; sequence_match=0.3478,False,0.4113,False,top-3 avg score 0.4113 < final_threshold 0.6
software,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.1250; semantic=0.6504; sequence_match=0.1667,False,0.4112,False,top-3 avg score 0.4112 < final_threshold 0.6
Maintained,TXT Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4741; levenshtein=0.0000; semantic=0.4432; sequence_match=0.3158,False,0.411,False,top-3 avg score 0.4110 < final_threshold 0.6
PROcess,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5869; sequence_match=0.1818,False,0.411,False,top-3 avg score 0.4110 < final_threshold 0.6
text editing,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4680; levenshtein=0.1818; semantic=0.5646; sequence_match=0.2000,False,0.4109,False,top-3 avg score 0.4109 < final_threshold 0.6
algorithm,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.1429; semantic=0.5396; sequence_match=0.2000,False,0.4106,False,top-3 avg score 0.4106 < final_threshold 0.6
licence,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5040; levenshtein=0.1429; semantic=0.5133; sequence_match=0.2143,False,0.4105,False,top-3 avg score 0.4105 < final_threshold 0.6
Development status,Proprietary Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4865; levenshtein=0.0952; semantic=0.4293; sequence_match=0.3158,False,0.4105,False,top-3 avg score 0.4105 < final_threshold 0.6
Source code available,CEL File Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4813; levenshtein=0.1579; semantic=0.4377; sequence_match=0.3125,False,0.4105,False,top-3 avg score 0.4105 < final_threshold 0.6
desktop graphical user interface,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4956; levenshtein=0.1379; semantic=0.5137; sequence_match=0.2222,False,0.4105,False,top-3 avg score 0.4105 < final_threshold 0.6
software developer organization,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4427; levenshtein=0.2069; semantic=0.4725; sequence_match=0.3158,False,0.4103,False,top-3 avg score 0.4103 < final_threshold 0.6
Maintained,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4708; levenshtein=0.1875; semantic=0.4523; sequence_match=0.3077,False,0.4103,False,top-3 avg score 0.4103 < final_threshold 0.6
data item,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.1875; semantic=0.4806; sequence_match=0.2500,False,0.4102,False,top-3 avg score 0.4102 < final_threshold 0.6
algorithm,Proprietary Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4646; levenshtein=0.1905; semantic=0.4987; sequence_match=0.2667,False,0.41,False,top-3 avg score 0.4100 < final_threshold 0.6
file rendering,Pricing Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4671; levenshtein=0.0769; semantic=0.4428; sequence_match=0.3200,False,0.41,False,top-3 avg score 0.4100 < final_threshold 0.6
web service,Non-Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.2000; semantic=0.5280; sequence_match=0.2353,False,0.4095,False,top-3 avg score 0.4095 < final_threshold 0.6
software interface,Collaboration Opportunity,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5237; levenshtein=0.2083; semantic=0.4602; sequence_match=0.2439,False,0.4093,False,top-3 avg score 0.4093 < final_threshold 0.6
Not Free,Community,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.5595; sequence_match=0.2500,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
function,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4951; levenshtein=0.1765; semantic=0.4122; sequence_match=0.3200,False,0.4091,False,top-3 avg score 0.4091 < final_threshold 0.6
data format specification,Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.1304; semantic=0.3779; sequence_match=0.2222,False,0.409,False,top-3 avg score 0.4090 < final_threshold 0.6
text editing,Non-Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4892; levenshtein=0.0000; semantic=0.5151; sequence_match=0.2222,False,0.4088,False,top-3 avg score 0.4088 < final_threshold 0.6
file rendering,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4473; levenshtein=0.2143; semantic=0.4827; sequence_match=0.2963,False,0.4087,False,top-3 avg score 0.4087 < final_threshold 0.6
version number,Open Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4473; levenshtein=0.0714; semantic=0.5565; sequence_match=0.2222,False,0.4087,False,top-3 avg score 0.4087 < final_threshold 0.6
Not Free,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5361; levenshtein=0.1765; semantic=0.4398; sequence_match=0.2500,False,0.4086,False,top-3 avg score 0.4086 < final_threshold 0.6
file rendering,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4473; levenshtein=0.1429; semantic=0.4813; sequence_match=0.2963,False,0.4083,False,top-3 avg score 0.4083 < final_threshold 0.6
algorithm,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4832; levenshtein=0.1765; semantic=0.4332; sequence_match=0.3077,False,0.408,False,top-3 avg score 0.4080 < final_threshold 0.6
Free,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.4626; sequence_match=0.3077,False,0.408,False,top-3 avg score 0.4080 < final_threshold 0.6
function,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.5987; sequence_match=0.1667,False,0.4079,False,top-3 avg score 0.4079 < final_threshold 0.6
CEL ASCII format,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.2143; semantic=0.3897; sequence_match=0.2857,False,0.4077,False,top-3 avg score 0.4077 < final_threshold 0.6
data format specification,Collaboration Opportunity,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5350; levenshtein=0.2083; semantic=0.3473; sequence_match=0.3404,False,0.4076,False,top-3 avg score 0.4076 < final_threshold 0.6
.csv,Software License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.1333; semantic=0.5338; sequence_match=0.2222,False,0.4076,False,top-3 avg score 0.4076 < final_threshold 0.6
plain text file format,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5276; levenshtein=0.1053; semantic=0.3920; sequence_match=0.3030,False,0.4075,False,top-3 avg score 0.4075 < final_threshold 0.6
file rendering,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4671; levenshtein=0.0769; semantic=0.5152; sequence_match=0.2400,False,0.4074,False,top-3 avg score 0.4074 < final_threshold 0.6
CEL ASCII format,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4944; levenshtein=0.1176; semantic=0.4044; sequence_match=0.3226,False,0.4071,False,top-3 avg score 0.4071 < final_threshold 0.6
PROcess,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0833; semantic=0.4588; sequence_match=0.2105,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
CEL ASCII format,Help Resource,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.4189; sequence_match=0.1538,False,0.4068,False,top-3 avg score 0.4068 < final_threshold 0.6
data format specification,Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5157; levenshtein=0.1304; semantic=0.4826; sequence_match=0.2222,False,0.4068,False,top-3 avg score 0.4068 < final_threshold 0.6
desktop graphical user interface,Collaboration Opportunity,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5807; levenshtein=0.1724; semantic=0.4125; sequence_match=0.2264,False,0.4065,False,top-3 avg score 0.4065 < final_threshold 0.6
algorithm,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1667; semantic=0.5079; sequence_match=0.2857,False,0.4065,False,top-3 avg score 0.4065 < final_threshold 0.6
.csv,Community,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.5714; sequence_match=0.1667,False,0.4065,False,top-3 avg score 0.4065 < final_threshold 0.6
version number,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.1538; semantic=0.6049; sequence_match=0.1905,False,0.4065,False,top-3 avg score 0.4065 < final_threshold 0.6
file rendering,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.5358; sequence_match=0.2727,False,0.4063,False,top-3 avg score 0.4063 < final_threshold 0.6
desktop graphical user interface,Collaborator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5642; levenshtein=0.1724; semantic=0.4816; sequence_match=0.1463,False,0.406,False,top-3 avg score 0.4060 < final_threshold 0.6
data item,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.1667; semantic=0.4763; sequence_match=0.2000,False,0.406,False,top-3 avg score 0.4060 < final_threshold 0.6
XML,Export Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4653; levenshtein=0.1250; semantic=0.5421; sequence_match=0.2105,False,0.406,False,top-3 avg score 0.4060 < final_threshold 0.6
Development status,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5064; levenshtein=0.1176; semantic=0.4708; sequence_match=0.2400,False,0.4057,False,top-3 avg score 0.4057 < final_threshold 0.6
application programming interface,Non-Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3973; levenshtein=0.1613; semantic=0.5560; sequence_match=0.2632,False,0.4055,False,top-3 avg score 0.4055 < final_threshold 0.6
CEL binary format,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5048; levenshtein=0.1905; semantic=0.4339; sequence_match=0.2778,False,0.4055,False,top-3 avg score 0.4055 < final_threshold 0.6
algorithm,Homepage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.0000; semantic=0.5689; sequence_match=0.2353,False,0.4054,False,top-3 avg score 0.4054 < final_threshold 0.6
web service,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4618; levenshtein=0.1765; semantic=0.5320; sequence_match=0.2222,False,0.4053,False,top-3 avg score 0.4053 < final_threshold 0.6
plain text file format,Pricing Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5553; levenshtein=0.2105; semantic=0.3381; sequence_match=0.3226,False,0.4053,False,top-3 avg score 0.4053 < final_threshold 0.6
data format specification,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5158; levenshtein=0.1304; semantic=0.4728; sequence_match=0.2273,False,0.4053,False,top-3 avg score 0.4053 < final_threshold 0.6
version number,Community,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5007; levenshtein=0.1538; semantic=0.5610; sequence_match=0.0909,False,0.4052,False,top-3 avg score 0.4052 < final_threshold 0.6
file rendering,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.2353; semantic=0.4543; sequence_match=0.2667,False,0.4046,False,top-3 avg score 0.4046 < final_threshold 0.6
function,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.6372; sequence_match=0.1176,False,0.4044,False,top-3 avg score 0.4044 < final_threshold 0.6
application programming interface,Homepage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4597; levenshtein=0.1613; semantic=0.5918; sequence_match=0.1538,False,0.4043,False,top-3 avg score 0.4043 < final_threshold 0.6
Not Free,Algorithm Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.2143; semantic=0.4895; sequence_match=0.2857,False,0.4039,False,top-3 avg score 0.4039 < final_threshold 0.6
algorithm,Valid Input Specification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5395; levenshtein=0.1739; semantic=0.4845; sequence_match=0.1875,False,0.4038,False,top-3 avg score 0.4038 < final_threshold 0.6
text editing,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5331; sequence_match=0.2222,False,0.4038,False,top-3 avg score 0.4038 < final_threshold 0.6
algorithm,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4101; levenshtein=0.0714; semantic=0.5401; sequence_match=0.2609,False,0.4037,False,top-3 avg score 0.4037 < final_threshold 0.6
programming language,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4351; levenshtein=0.1053; semantic=0.5689; sequence_match=0.2069,False,0.4036,False,top-3 avg score 0.4036 < final_threshold 0.6
Free,TXT Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.4493; sequence_match=0.3077,False,0.4036,False,top-3 avg score 0.4036 < final_threshold 0.6
PROcess,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4239; levenshtein=0.2353; semantic=0.4533; sequence_match=0.3333,False,0.4035,False,top-3 avg score 0.4035 < final_threshold 0.6
text editing,Open Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5372; levenshtein=0.1429; semantic=0.5132; sequence_match=0.1600,False,0.4035,False,top-3 avg score 0.4035 < final_threshold 0.6
Maintained,Proprietary Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5091; levenshtein=0.1818; semantic=0.5122; sequence_match=0.1875,False,0.4029,False,top-3 avg score 0.4029 < final_threshold 0.6
data format specification,Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5290; levenshtein=0.1304; semantic=0.4568; sequence_match=0.2222,False,0.4027,False,top-3 avg score 0.4027 < final_threshold 0.6
Purchase cost,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0714; semantic=0.4246; sequence_match=0.2308,False,0.4023,False,top-3 avg score 0.4023 < final_threshold 0.6
software developer role,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3671; levenshtein=0.1429; semantic=0.5895; sequence_match=0.2500,False,0.4022,False,top-3 avg score 0.4022 < final_threshold 0.6
Free,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5392; levenshtein=0.1176; semantic=0.4767; sequence_match=0.1905,False,0.4021,False,top-3 avg score 0.4021 < final_threshold 0.6
data format specification,Actively Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5968; levenshtein=0.1739; semantic=0.4143; sequence_match=0.1951,False,0.4021,False,top-3 avg score 0.4021 < final_threshold 0.6
file rendering,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4936; levenshtein=0.0769; semantic=0.4725; sequence_match=0.2400,False,0.402,False,top-3 avg score 0.4020 < final_threshold 0.6
plain text file format,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.0526; semantic=0.3526; sequence_match=0.2857,False,0.402,False,top-3 avg score 0.4020 < final_threshold 0.6
software developer role,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4960; levenshtein=0.2381; semantic=0.4670; sequence_match=0.2424,False,0.4018,False,top-3 avg score 0.4018 < final_threshold 0.6
software developer role,Data Tool Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5404; levenshtein=0.1905; semantic=0.4295; sequence_match=0.2353,False,0.4017,False,top-3 avg score 0.4017 < final_threshold 0.6
CEL ASCII format,Community,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5159; levenshtein=0.1429; semantic=0.4278; sequence_match=0.2609,False,0.4015,False,top-3 avg score 0.4015 < final_threshold 0.6
desktop graphical user interface,CSV Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5690; levenshtein=0.1724; semantic=0.4630; sequence_match=0.1053,False,0.4015,False,top-3 avg score 0.4015 < final_threshold 0.6
Purchase cost,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.0000; semantic=0.4820; sequence_match=0.2500,False,0.4014,False,top-3 avg score 0.4014 < final_threshold 0.6
algorithm,Data Tool Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.5211; sequence_match=0.2727,False,0.4014,False,top-3 avg score 0.4014 < final_threshold 0.6
Development status,Collaboration Opportunity,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4867; levenshtein=0.1667; semantic=0.4727; sequence_match=0.2439,False,0.4011,False,top-3 avg score 0.4011 < final_threshold 0.6
licence,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.1667; semantic=0.5082; sequence_match=0.2105,False,0.4009,False,top-3 avg score 0.4009 < final_threshold 0.6
desktop graphical user interface,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4658; levenshtein=0.1379; semantic=0.5746; sequence_match=0.1622,False,0.4009,False,top-3 avg score 0.4009 < final_threshold 0.6
software developer organization,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5029; levenshtein=0.1379; semantic=0.4670; sequence_match=0.2326,False,0.4008,False,top-3 avg score 0.4008 < final_threshold 0.6
XML,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.0000; semantic=0.5959; sequence_match=0.1333,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.6
programming language,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4342; levenshtein=0.1053; semantic=0.5931; sequence_match=0.1739,False,0.4004,False,top-3 avg score 0.4004 < final_threshold 0.6
Maintained,Pricing Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.2500; semantic=0.4221; sequence_match=0.2727,False,0.4001,False,top-3 avg score 0.4001 < final_threshold 0.6
web service,Export Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.1250; semantic=0.5029; sequence_match=0.2308,False,0.4001,False,top-3 avg score 0.4001 < final_threshold 0.6
programming language,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4266; levenshtein=0.1579; semantic=0.5149; sequence_match=0.2581,False,0.3999,False,top-3 avg score 0.3999 < final_threshold 0.6
CEL ASCII format,Collaboration Opportunity,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5099; levenshtein=0.2917; semantic=0.3212; sequence_match=0.3684,False,0.3999,False,top-3 avg score 0.3999 < final_threshold 0.6
PROcess,Development Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4276; levenshtein=0.1250; semantic=0.5106; sequence_match=0.2609,False,0.3997,False,top-3 avg score 0.3997 < final_threshold 0.6
Purchase cost,Platform,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.4205; sequence_match=0.2000,False,0.3994,False,top-3 avg score 0.3994 < final_threshold 0.6
plain text file format,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.4888; sequence_match=0.1739,False,0.3993,False,top-3 avg score 0.3993 < final_threshold 0.6
programming language,Valid Input Specification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5106; levenshtein=0.0435; semantic=0.4486; sequence_match=0.2381,False,0.3991,False,top-3 avg score 0.3991 < final_threshold 0.6
algorithm,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.5956; sequence_match=0.1250,False,0.3989,False,top-3 avg score 0.3989 < final_threshold 0.6
data format specification,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4735; levenshtein=0.0870; semantic=0.5326; sequence_match=0.1905,False,0.3988,False,top-3 avg score 0.3988 < final_threshold 0.6
Open source software license,Programming Language,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4754; levenshtein=0.2000; semantic=0.5208; sequence_match=0.0909,False,0.3987,False,top-3 avg score 0.3987 < final_threshold 0.6
Purchase cost,Non-Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.0833; semantic=0.5014; sequence_match=0.2105,False,0.3987,False,top-3 avg score 0.3987 < final_threshold 0.6
Open source software license,Tool Version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5574; levenshtein=0.2000; semantic=0.4383; sequence_match=0.1667,False,0.3986,False,top-3 avg score 0.3986 < final_threshold 0.6
software interface,TXT Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5621; levenshtein=0.1765; semantic=0.4571; sequence_match=0.1538,False,0.3986,False,top-3 avg score 0.3986 < final_threshold 0.6
Purchase cost,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5065; levenshtein=0.1765; semantic=0.4132; sequence_match=0.2759,False,0.3985,False,top-3 avg score 0.3985 < final_threshold 0.6
Source code available,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4544; levenshtein=0.1579; semantic=0.5343; sequence_match=0.2069,False,0.3985,False,top-3 avg score 0.3985 < final_threshold 0.6
plain text file format,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.4540; sequence_match=0.2308,False,0.3985,False,top-3 avg score 0.3985 < final_threshold 0.6
Not Free,Modification,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4841; levenshtein=0.1667; semantic=0.5445; sequence_match=0.1053,False,0.3984,False,top-3 avg score 0.3984 < final_threshold 0.6
web service,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4500; levenshtein=0.1000; semantic=0.6022; sequence_match=0.1429,False,0.3984,False,top-3 avg score 0.3984 < final_threshold 0.6
CEL binary format,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4758; levenshtein=0.0588; semantic=0.4063; sequence_match=0.3125,False,0.3982,False,top-3 avg score 0.3982 < final_threshold 0.6
software developer organization,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5412; levenshtein=0.1034; semantic=0.4910; sequence_match=0.1622,False,0.3981,False,top-3 avg score 0.3981 < final_threshold 0.6
Open source software license,Version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5048; levenshtein=0.2000; semantic=0.4892; sequence_match=0.1250,False,0.398,False,top-3 avg score 0.3980 < final_threshold 0.6
Open source software license,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5297; levenshtein=0.2400; semantic=0.4201; sequence_match=0.2439,False,0.3979,False,top-3 avg score 0.3979 < final_threshold 0.6
version number,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3825; levenshtein=0.0769; semantic=0.5710; sequence_match=0.2400,False,0.3978,False,top-3 avg score 0.3978 < final_threshold 0.6
Open source software license,Proprietary Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4480; levenshtein=0.2000; semantic=0.4840; sequence_match=0.2609,False,0.3976,False,top-3 avg score 0.3976 < final_threshold 0.6
